name,cluster_id
COMMISSIONAIRES SECURITY SOLUTIONS,0
COMMISSIONAIRES MANITOBA,0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING,0
CANADIAN COMMISSIONAIRES,0
CANADIAN CORPS COMMISSIONAIRES,0
CORPS COMMISSIONAIRES,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,0
COMMISIONAIRES SASKATCHEWAN,0
CANCORPS COMMISSIONAIRES,0
CANADIAN CORPSCOMMISSIONNAIRES,0
COMMISSISONAIRES OTTAWA,0
CANADIAN CORPS COMISSIONAIRES,0
COMMISSIONAIRES,0
CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,0
COMMISSIONAIRES OTTAWA COLONADE,0
COMMISSIONAIRE NOVA SCOTIA,0
COMMISSIONAIRES KINGSTON,0
CANADIAN CORPS COMMISSIONIARES,0
JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,1
ALTIS HUMAN RESOURCES NORTH YORK,1
ALTIS HUMAN RESOURCES,1
EXCEL HUMAN RESOURCE,1
ALTIS RECRUITMENT,1
EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,1
ALTIS RECRUITMENT TECHNOLOGY IN,1
ALTIS HUMAN RESOURCES OTTAWA,1
ALTIS PROFESSIONAL SERVICES,1
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,1
ALTIS HUMAN RESSOUCES,1
ALTIS VANCOUVER,1
ALTIS HUMAN RESOURCES VANCOUVER I,1
ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,1
ALTIS PROFESSIONAL RECRUITMENT,1
IMPERIAL OIL ESSO,2
WORLS FUELS,2
WORLD FUEL SERVICES CANADA,2
WORLD FUEL SERVICES,2
WORLD FUEL SERVICE,2
WORLD FUEL FLIGHT SERVICES,2
IMPERIAL OIL,2
WORL FUEL SERVICES TRADING,2
WORLDD FUEL SERVICES CANADA,2
INPERIAL OIL,2
STANTEC CONSULTING WINNIPEG,3
STANTEC CONSULTING DARTMOUTH,3
STANTEC EXPERTSCONSEILS,3
STANTEC CONSULTING,3
STANTEC CONSULTING OTTAWA,3
STANTEC ARCHITECTURE,3
STANTEC EXPERT CONSEILS,3
STANTEC CONSULTING SCL,3
SYSCO SERCA FOOD SERVICES WEST,4
SYSCO STURGEON FALLS,4
SYSCO SERCA FOOD SERVICESATLANTIC,4
SYSCO SERCA SERVICES ATLANTIC,4
SYSCO OTTAWA,4
SYSCO SERCA ATLANTIC,4
SYSCO FOOD SERVICES TORONTO,4
SYSCO SERTA,4
SNCLAVALIN DEFENSE PROGRAMS,5
SNCLAVALIN ENVIRONMENT VICTORIA,5
SNCLAVALIN,5
SNC LAVALIN,5
SNC LAVALIN PROFAC,5
ATKINSREALIS FORMERLY SNCLAVALIN,5
SNCLAVALIN MONTREAL,5
TELUS COLLABORATION SERVICES,6
TELUS COMMUNICATIONS,6
TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,6
TELUS COMMUNICATIONS COMPANY,6
TELUS HEALTH,6
MODIS CANADA CR 114705,6
MODIS CANADA,6
MCELHANNEY ASSOCIATES LAND,7
MCELHANNEY CONSULTING SERVICES,7
MCELHANNEY,7
MCELHINNEY HOLDINGS,7
MCELHANNEY EDMONTON,7
MCELHANNEY CONSULTING SERVICES APRIL 20 2016,7
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,8
TOROMONT INDUSTRIES INDUSTRIES TOROMONT,8
TOROMONT CAT,8
TOROMONT CAT POWER SYSTEMS,8
TOROMONT ARCTIC,8
TOROMONT MATERIAL HANDLING,8
PRICEWATERHOUSECOOPERS,9
PRICE WATERHOUSE COOPERS PWC,9
PRICEWATERHOUSECOOPERS CATHERINE PEACOCK,9
PRICEWATERHOUSECOOPERS OWEN TAYLOR,9
PRICE WATERHOUSE COOPER,9
PRICEWATERHOUSE COOPERS,9
L3 COMMUNICATIONS EOIR,10
L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,10
L3 COMMUNICATIONS ELECTRONIC SYSTEMS,10
L3 AVIATION PRODUCTS,10
L3 MAPPS,10
L3 COMMUNICATIONS,10
ERNST YOUNG EY,11
ERNST YOUNG GLOBAL,11
ERNST YOUNG MONTREAL,11
ERNST YOUNG TTTTTTTT,11
ERNST YOUNG BILL KESSELS,11
THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,12
THALES CANADA SYSTEMS DIVISION,12
THALES COMMUNICATIONS,12
THALES CANADA NAVAL SERVICES BU,12
THALES DEFENCE SECURITY,12
SAMSON ASSOCIATES,13
SAMSON ASSOCIES CPACONSULTATION,13
SAMSON ASSOCIATES CPA CONSULTATION,13
SAMSON ASSOCIES,13
SAMSON ASSOCIATES CPA CONSULTING SERVICES,13
SHELL CANADA PRODUCTS,14
SHELL,14
SHELL BRASIL,14
SHELLCANADA PRODUCTS,14
SHELL AVIAITON,14
FISHER SCIENTIFIC COMPANY,15
FISHER SCIENTIFIC,15
THERMO FISHER SCIENTIFIC,15
THERMO FISHER SCIENTIFIC MISSISSAUG,15
THERMO ELECTRON CALGARY,15
SOLOTECH QUABEC,16
SOLOTECH QUEBEC,16
SOLOTECH,16
CBCI TELECOM A SOLOTECH COMPANY,16
CBCI SOLOTECH,16
KPMG FORENSIC,17
KPMG FKA KPMG MSLP,17
KPMG VICTORIA,17
ITNETOTTAWA KPMG IN JOINT VENTURE,17
KPMG,17
HONEYWELL BUILDING SOLUTIONS,18
HONEYWELL,18
EMS TECHNOLOGIES CANADA HONEYWELL,18
HONEYWELL HONEYWELL,18
DELOITTE,19
DELOITTE TOUCHE,19
DELOITTE TOUCHE TOHMATSU CERTIFIED PUBLIC ACCOUNTANTS,19
DELOITTE TOHMATSU FINANCIAL ADVISOR,19
ITEXTIG,20
ITEX,20
ITEXTIG VIA SSC,20
ITEX DBA TECHNOLOGY,20
ADVANCED CHIPPEWA TECH ACT,21
ADVANCED CHIPPEWA THECHNOLOGIES,21
ADVANCED CHIPPEWA TECH,21
ADVANCED CHIPPEWAS,21
AMTEK ENGINEERING SERVICES,22
AMTEK,22
AMTEK ENGINEERING,22
AMTEK ENGINEERING SERVICES LD,22
GFL ENVIRONMENTAL,23
GFL ENVIRONMANTAL,23
GFL ENVIROMENTAL,23
GFL INVIRONMENTAL,23
SIMEX DEFENCE,24
SIMEX DEFENSE,24
SIMEX EQUIPMENT,24
SIMEX DEFENCE IN,24
TELCOM COMPUTER,25
TELECOM COMPUTER,25
TELECOM COMPUTERS,25
TELECOM,25
ASOKAN BUSINESES INTERIORS,26
ASOKAN BUSINESS INTERIORS,26
ASOKAN SOLUTION BUREAU,26
ASOKAN SOLUTIONS BUREAU,26
MICROSOFT CONSULTING SERVICES,27
MICROSOFT SERVICES,27
MICROSOFT CANADA,27
MICROSOFT,27
ACKLANDS GRAINGER,28
ACKLANDS GRAINGER CANADA,28
ACKLANDSGRAINGER,28
ACKLAND GRAINGER,28
ADRM TECHNOLOGY CONSULTING,29
ADRM TECHNOLOGY CONSULTING GROUP,29
ADRM TECH,29
ADRM TECHNOLOGY CONSULTING GROUP ANTIAN PROFESSIONAL SERVICES,29
TEKNION ROY BRETON,30
TEKNION,30
TECKNION,30
TEKNION FURNITURES SYS,30
BALCK MCDONALD,31
BLACK MCDONALD OTTAWA,31
BLACK MCDONALD,31
BLACK MACDONALD,31
AECOM CANADA,32
AECOM,32
AECOM CANADA WINNIPEG,32
AECOM CONSULTANTS,32
RIVERVIEW FORD LINCOLN,33
AIRPORT FORD LINCOLN,33
STEVE MARSHALL FORD LINCOLN,33
VICTORY FORD LINCOLN SALES,33
MINOLTA BUSINESS EQUIPMENT CANADA,34
KONICA BUSINESS SOLUTIONS,34
KONICA MINOLTA BUSINESS,34
KONICA MINOLTA BUSINESS SOLUTIONS CANADA,34
BELL CDA,35
BELL CANADA,35
BELL CANADA TELEPHONE,35
BELL TELEPHONE COMPANY CANADA OR BELL CANADA COMPAGNIE TE,35
ZYCOM TECH,36
ZYCOM AS RESELLER FOR DELL,36
ZYCOM,36
ZYCOM TECHNOLOGIES,36
J D IRVING,37
IRVING EQUIPMENT,37
CHANDLER DIV JD IRVING,37
A DIVISION JD IRVING,37
RAYTHEON SECURE INFORMATION SYSTEMS,38
RAYTHEON CANADA,38
RAYTHEON SYSTEMS COMPANY,38
RAYTHEON COMPANY,38
ADVANCED BUSINESS INTERIORS,39
ABIADVANCED BUSINESS INTERIORS,39
ABI ADVANCED BUSINESS INTERIORS,39
LUMINA IT,40
LUMINAIT,40
LUMINA IT CBZ JOINT VENTURE,40
UNISOURCE TECHNOLOGY,41
UNISOURCE TECHNOLOGY UTI,41
UNISOURCE TECH,41
FLIGHT FUELS PARTNERSHIP,42
FLIGHT FUELS,42
FLIGHT FUEL,42
DELL CANADA,43
DELL COMPUTER,43
DELLCANADA,43
STRATEGIC NATURAL RESOURCE CONSULTANTS,44
STRATEGIC NATURAL RESOURCE CONSULTA,44
STRATEGIC NATURAL RESOURCE CONSULTANTS KFC CFC,44
JHT DEFENCE,45
JHT DEFENSE,45
JHT DEFENSE INCEC,45
GDI SERVICES CANADA,46
GDI SERVICES,46
GDI SERVICES QUEBEC SEC,46
GENERAL DYNAMICS LAND SYSTEMS,47
GENERAL DYNAMICS GLOBAL IMAGING TECHNOLOGIES,47
GENERAL DYNAMICS C4SYSTEMS,47
GROUPE HARNOIS,48
HARNOIS,48
HARNOIS ENERGIE,48
SMITH CARTER JV BRADLEY SHUYA ARCHITECTS,49
SMITH CARTER ARCHITECTS OTTAWA,49
SMITH CARTER ARCHITECTS WINNIPEG,49
CANSEL SURVEY EQUIPMENT EQUIPEMENTS DARPENTAGE CANSEL,50
CANSEL SURVEY EQUIPMENT CANADA,50
CANSEL SURVEY EQUIPMENT,50
WSP CANADA,51
WSP CANADA GROUP,51
WSP EI CANADA,51
FUJITSU NETWORK COMMUNICATIONS,52
FUJITSU CANADA,52
FUJITSU CONSULTING CANADA FUJITSU CONSEIL CANADA,52
RHEINMETALL ELECTRONICS,53
RHEINMETALL MAN MILITARY,53
RHEINMETALL CANADA,53
IRVING OIL,54
PETROLES IRVING,54
IRVING OIL COMMERCIAL GP,54
ATCO STRUCTURES LOGISTICS SERVICES,55
ATCO STRUCTURES LOGISTICS,55
ATCO POWER CANADA,55
PARKLAND COLUMBIA FUELS,56
COLUMBIA FUELS OA PARKLAND FUELS,56
PARKLAND OA COLUMBIA FUELS,56
SI SYSTEMS,57
