name,cluster_id
BRITISH COLUMBIA CORPS COMMISSIONAIRES,0
CAN COMMISSIONAIRES OTTAWA,0
CANCORPS COMMISSIONAIRES,0
CANADA COMMISSIONAIRE,0
CANADA CORPS COMMISSIONAIRS,0
CANADADIAN CORPS COMMISSIONAIRES,0
CANADAIN CORPS COMMISSIONAIRES,0
CANADIAN CORPS COMMISSIONAIRES,0
COMMISSIONAIRES HAMILTON,0
COMMISSIONAIRES OTTAWA,0
COMMISSIONNAIRES DU QUEBEC,0
CANADIAN CORPS COMMISSIONAIR,0
100 COMMISSIONAIRES,0
100 COMMISSIONNAIRES,0
COMMISSIONAIRES,0
COMMISSIONAIRE,0
CORPS CANADIEN COMMISSIONNAIRE,0
CORPS CANADIEN COMMISSIONNAIRES,0
CORPS CANADIEN COMMISSIONAIRES,0
CORPS CANADIEN COMMISSIONAIRES DIVISION DU QUEBEC,0
CORPS CANADIEN COMMISSIONN,0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,0
CORPS CANADIENS COMMISSIONNAIRES DIVISION QUEBEC,0
CORPS CDN COMMISSIONNAIRES MTL,0
CORPS CDN COMMISSIONNAIRES OTT,0
CORPS COMMISSIONAIRES,0
CORPS COMISSIONAIRES,0
CORPS COMMISSIONAIRE,0
CORPS COMMISSIONIARES,0
CORPS COMMSSIONAIRES,0
CANADA CORPS COMMISSIONAIRES,0
CANADIAN COMMISSIONAIRES,0
CANADIAN CORPS COMMISSIOINAIRES,0
CANADIAN COMMISSIONAIRES OTTAWA,0
CANADIAN CORPS COMMISSIOAIRES KINGSTON REGION,0
CANADIAN COPRS COMMISSIONAIRES,0
CANADIAN COPRS COMMISSSIONAIRES,0
CANADIAN COMISSIONAIRES,0
CANADIAN COMMISIONAIRES,0
CANADIAN COMMISSIONAIRE HQ OTTAWA,0
CANADIAN COMMISSIONAIRE OTTAWA,0
CANADIAN COMMISSIONAIRES SOUTHERN ALBERTA,0
CANADIAN COMMISSIONAIRES HQ OTTAWA,0
CANADIAN COMMISSIONAIRES KINGSTON,0
CANADIAN COMMISSIONAIRES KINGSTON REGION,0
CANADIAN COMMISSIONIARE,0
CANADIAN COMMISSSIONAIRES,0
CANADIAN COMMISSSIONAIRES KINGSTON,0
CANADIAN CORPOS COMMISSIONAIRES,0
CANADIAN CORPOS COMMISSIONAIRES NOVA SCOTIA DIVISION,0
CANADIAN CORPS COMMISSIONAIRES OTTAWA DIVISION,0
CANADIAN CORPS COMMISIONAIRES,0
CANADIAN CORPS COMMISSIONAIRE,0
