name1,name2,score
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRES NOVA SCOTIA DIVISION,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONNAIRES DU QUEBECBUREAU QUEBEC,1.0
ALTIS HR OTTAWA EXCELHR JOINT VENTURE,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,1.0
CORPS CANADIEN COMMISSIONAIRES DIVISION DU QUEBEC,COMMISSIONAIRE QUEBEC,1.0
CORPS CDN COMMISSIONNAIRES OTT,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
CANDIAN CORPS COMMISSIONAIRES,CORPS CANADIEN COMMISSIONNAIRE,1.0
COMMISSIOINAIRE NOVA SCOTIA,CANADIAN CORPS COMMISSIONAIRES NOVA SCOTIA,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,CANADIAN CORPS O COMMISSIONAIRES,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,CANADIAN CORPS OPF COMMISSIONAIRES,1.0
FACTR ALTIS RECRUITMENT TECHNOLOGY IN JOINT VENTURE,ALTIS HUMAN RESOURCES OTTAWA ALTIS RECRUITMENT TECHNOLOGY,1.0
COMMISSIOINAIRE NOVA SCOTIA,CANADIAN CORPS COMMISSIONAIRES NOVA SCOTIA DIVISION,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRES OTTAWA DIVISION,1.0
CANDIAN CORPS COMMISSIONAIRES,CORPS CANADIEN COMMISSIONN,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRES MANITOBA DIVISION,1.0
CORPS CDN COMMISSIONNAIRES MTL,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
CANADIAN CORPS,OTTAWA DIVISION CANADA CORPS COMMISSIONAIRES,1.0
SERVICE COMMISSIONAIRE QUEBEC,CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,1.0
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRES NORTH SASKATCHEWAN DIVISION,1.0
CAN COMMISSIONAIRES OTTAWA,CANADIAN CORPS COMMISSIONAIRES HQ OTTAWA DIVISOIN,1.0
COMMISSIONAIRES OTTAWA SG CANADIAN CORPS COMMISSIONAIRESTHE CANADIAN CORPS COMMISSIONAIRES,CANADIAN COMMISSIONAIRE HQ OTTAWA,1.0
CAN COMMISSIONAIRES OTTAWA,COMMISSIONNAIRE OTTAWA,1.0
CORPS CDN COMMISSIONNAIRES MTL,CANADIAN CORPS COMMISSONAIRES NS,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONNAIRE CANADIENS,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONNAIRES MONTREAL,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,COMMISSIONAIRE CORPS SOUTHERN ALBERTA,1.0
CORPS CANADIEN COMMISSIONAIRES DIVISION DU QUEBEC,SERVICE COMMISSIONAIRE QUEBEC,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISIONAIRES DU QUEBEC,1.0
CORPS CDN COMMISSIONNAIRES OTT,CANADIAN CORPS COMMISSONAIRES NS,1.0
CORPS CDN COMMISSIONNAIRES OTT,CANADIAN CORPS OPF COMMISSIONAIRES,1.0
CORPS CDN COMMISSIONNAIRES MTL,CANADIAN CORPS O COMMISSIONAIRES,1.0
ALTIS HR EXCEL HR IN JOINT VENTURE,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,1.0
ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES ALTIS HUMAN RESOURCES IN JOINT VENTURE,1.0
CORPS CDN COMMISSIONNAIRES OTT,COMMISSIONAIRES OTTAWA SG CANADIAN CORPS COMMISSIONAIRESTHE CANADIAN CORPS COMMISSIONAIRES,1.0
FACTR ALTIS RECRUITMENT TECHNOLOGY IN JOINT VENTURE,ALTIS RECRUITMENT TECHNOLOGY EXCELITR EXCELHR,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,CANADIAN CORPS COMMISSIOINAIRES,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONAIRES DU QUEBEC,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,BRITISH COLUMBIA CORPS COMMISSIONAIRES,1.0
ALTIS HUMAN RESOURCES EXCEL HUMAN RESOURCES IN JV,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,1.0
CANADIAN CORPS OPF COMMISSIONAIRES,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
ALTIS SPECIALIZED PROFESSIONAL RESOURCES OR ALTISSPR OR ALTIS PROFESSIONAL RECRUITMENT,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES ALTIS HUMAN RESOURCES IN JOINT VENTURE,1.0
CCIDS COMMISSIONAIRES OTTAWA,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
COMMISSIONAIRES OTTAWA SG CANADIAN CORPS COMMISSIONAIRESTHE CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRESVICTORIA ISLANDS YUKON,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRE DU QUEBEC,1.0
COMMISSIOINAIRE NOVA SCOTIA,NOVA SCOTIA DIVISION CANADIAN CORPS COMMISSIONAIRES,1.0
CAN COMMISSIONAIRES OTTAWA,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
CORPS CANADIENS COMMISSIONNAIRES DIVISION QUEBEC,COMMISSIONAIRES BRITISH COLUMBIA,1.0
COMMISSIONAIRE CORPS SOUTHERN ALBERTA,COMMISSIONNAIRES N ALBERTA NORTHWEST TERRITORY NUNAVUT,1.0
CAN COMMISSIONAIRES OTTAWA,OTTAWA DIVISION CANADA CORPS COMMISSIONAIRES,1.0
CANDIAN CORPS COMMISSIONAIRES,CORPS CANADIEN COMMISSIONAIRE,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRE SERVICES MANITOBA DIVISION,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRE MANITOBA DIVISION,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,COMMISSIONAIRES DIVISION D OTTAWA,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRES QUEBEC,1.0
CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,CANADIAN COPRS COMMISSIONAIRES,1.0
CANDIAN CORPS COMMISSIONAIRES,CANADIAN COMMISSIONAIRE,1.0
ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES IN JV ALTISEXCEL,ALTIS HUMAN RESOURCES OTTAWA EXCEL HUMAN RESOURCES RESSOURCES HUMAINES EXCEL ALTIS HUMAN RESOURCES RESSOURCES HUMAINES ALTIS IN JOINT VENTURE,1.0
CORPS CDN COMMISSIONNAIRES OTT,CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,1.0
SERVICE COMMISSIONAIRE QUEBEC,CORPS CANADIEN COMMISSIONNAIRES DIV QUEBEC,1.0
CORPS CANADIEN COMMISSIONN,CANADIAN CORPORS COMMISSIONAIERS,1.0
CDN CORPS COMMISSIONAIRE QC,CANDIAN CORPS COMMISSIONAIRES,1.0
CAN COMMISSIONAIRES OTTAWA,CANADIAN COMMISSIONAIRE,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRE QUEBEC,1.0
CANDIAN CORPS COMMISSIONAIRES,CDN CORPS COMMISSIONAIRES OTTAWA ON,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRES DIV DU QCDU QUEBEC,1.0
NOVA SCOTIA DIVISION CANADIAN CORPS COMMISSIONAIRES,COMMISSIOINAIRE NOVA SCOTIA,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRES DU QUEBECBUREAU QUEBEC,1.0
CANADIAN CORPS COMMISSIONAIRES CORPS CANADIEN COMMISSIONAIRES,COMMISSSIONAIRE DU QUEBEC,1.0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING CENTRE,COMMISSIONAIRESN ALBERTA,1.0
CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,COMMISSIONNAIRES DIVISION QUEBEC,1.0
CANADIAN CORPS OR COMMISSIONAIRE,CORPS CANADIEN DS COMMISSIONNAIRES DIVISION MONTREAL,1.0
CANADIAN COMMISSIONAIRE HQ OTTAWA,CANADIAN CORPS COMMISSIONAIRES OTTAWA DEVISION,1.0
CORPS CDN COMMISSIONNAIRES MTLNAIRES,CORPS CANADIEN COMMISSIONNAIRES DIVISION DU QUEBEC,1.0
CAN COMMISSIONAIRES OTTAWA,COMMISSIONAIRE OTTAWA,1.0
CORPS CDN COMMISSIONNAIRES MTL,COMMISSIONAIRE CORPS SOUTHERN ALBERTA,1.0
CANADIAN CORPS COMMISSIONNAIRES NORTHERN ALBERTA NATIONAL MONITORING C,COMMISSIONAIRESN ALBERTA,1.0
SERVICE COMMISSIONAIRE QUEBEC,CORPS CANADIENS COMMISSIONNAIRES DIVISION QUEBEC,1.0
