name,cluster_id
EXCEL HUMAN RESOURCES EXCELLTR,0
EXCEL HUMAN RESOURCES OA EXCEL HR,0
EXCEL HUMAN RESSOURCE,0
EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0
EXCEL HUMAN RESOURSE,0
EXCEL HUMAN RESSOURCES,0
EXCEL HUMAN RESOURCES 102 BANK ST SUITE 300,0
EXCEL HUMAN RESOURCES,0
EXCEL HUMAN RESOURCES EXCELITR,0
EXCEL HUMAN RESOURCES EXCEL ITR,0
EXCEL HUMAN RESOURCE,0
EXCEL HUMAN RESOUCES,0
EXCEL HUMAN RESOURCES EXCEL HR,0
EXCEL HUMAN RESOURCESINC,0
EXCEL HURMAN RESOURSES,0
EXCEL HRITR,0
EXCEL HR,0
EXCELL HUMAN RESOURCES,0
EXCEL PERSONNEL,0
EXCEL HRI,0
EXCELHR,0
EXCEL INFORMATION TECHNOLOGY RESOURCES EXCEL ITR,1
EXCEL INFORMATION TECHNOLOGY RESOURCES EXCELITR,1
EXCEL INFORMATION TECHNOLOGY RESOURCES,1
EXCELHR OR EXCEL INFORMATION TECHNOLOGY RESOURCES EXCELITR O,1
EXCEL INFORMATION TECHNOLOGY RESOUR,1
EXCEL INFORMATION TECHNOLOGY,1
EXCEL ITR,1
EXCEL IT RESOURCES,1
EXCEL ITREXCEL INFORMATION TECHNOLOGY RESOURCES,1
EXCELL INFORMATION TECHNOLOGYRESOUR,1
EXCEL ITREXCEL INFORMATION TECHNOL OGY RESOURCES,1
EXCEL INFORMATION TECHNOLOGY RESOUCES,1
EXCEL ITREXCEL INFORMATION TECHNOL,1
EXCELITR,1
EXCELL INFORMATION TECHNOLOGYRESOURCES EXCELITR,1
EXCELTIRT,1
EXCEL INFORMATION TECHNOLOGY RESOURCES A DIVISION EXCEL HUMAN RESOURCES,1
FORD,2
FORD MOTOR CANADA,2
FORD MOTOR COMPANY,2
FORD MOTORS CANADA,2
FORD MOTOR COMPANY CA,2
FORD MOTOR COMPAMY,2
FORD CANADA,2
FORD MOTOR,2
FORD MOTORS,2
CROWN WORLDWIDE CV,3
CROWN WORLDWIDE MOVING STORAGE,3
CROWN WORLDWIDE K,3
CROWN WORLDWIDE LTDA,3
CROWN WORLDWIDE KK,3
CROWN WORLDWIDE,3
CROWN RELOCATIONS,3
EXCEL,4
EXCEL MANUFACTURING,4
EXCEL LEARNING CONCEPTS,4
EXCEL OFFICE FURNISHINGS,4
EXCEL BUS LINES,4
EXCEL AUTO SUPPLY,4
OCEAN DIAGNOSTICS,5
OCEAN MARINE INDUSTRIES,5
OCEANMD,5
OCEAN MARINE,5
OCEAN MARINE INDUSTRIS,5
SYSCO VANCOUVER BC,6
SYSCO VANCOUVER,6
SYSCO WINNIPEG,6
SYSCO HALIFAX,6
SYSCO EDMONTON,6
GROUPE OCEAN,7
GROUPE OCEANS,7
OCEAN GROUP GROUPE OCEAN,7
LOCATION OCEAN,7
OCEANS,7
ENTREPRISES ML,8
ENTREPRISES L MICHAUD,8
ENTREPRISE ML,8
ENTREPRISES MARISSA,8
ENTREPRISES CHATEL,9
ENTREPRISES CLAVEAU,9
ENTREPRISE CLAVEAU,9
C E ENTREPRISES,9
SYSCO VICTORIA BC,10
SYSCO VICTORIA,10
SYSCO REGINA,10
SYSCO CALGARY,10
ENTREPRISES ASA,11
ENTREPRISES QIE,11
ENTREPRISES,11
ENTRPRISE,11
GESTION BBT,12
GESTION BOURGADE,12
GESTION BALTRUST,12
SYSCO CENTRZL ONTARIO,13
SYSCO CANADA,13
SYSCO CENTRAL ONTARIO,13
CROWN METAL PACKAGING,14
CROWN PACKAGING,14
CROWN NORTH AMERICA,14
GESTION CONSEIL MD,15
GESTION DESOURDY,15
GESTION M DESOURDY,15
ENTREPRISES PEC,16
ENTREPRISES P E C,16
ENTREPRISES PREBBEL,16
ATLAS MEDICAL,17
ATLAS MEDIC,17
ATLASMEDIC,17
ENTREPRISES ETOILE,18
ENTREPRISE ETOILES,18
ENTREPRISE ETOILE,18
MVC OCEAN,19
MVC OCEANS,19
MCV OCEAN,19
CROWN EQUIPMENT,20
CROWN LIFT TRUCKS,20
CROWN LIFT TRUCK,20
GESTION G BELEC,21
GESTION GUY BELEC,21
GESTION GUY BELEC IN,21
OCEANEX,22
OCEAN EQUPMENT,22
OCEAN EQUIPMENT,22
