name1,name2,score
EXCELL HUMAN RESOURCES,EXCEL HUMAN RESOURCES OA EXCEL HR,1.0
ENTREPRISES DENEXCO,ENTREPRISES DENEX,1.0
EXCEL HUMAN RESOURSE,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,1.0
EXCEL ITREXCEL INFORMATION TECHNOLOGY RESOURCES,EXCEL INFORMATION TECHNOLOGY RESOUCES,1.0
ENTREPRISE ETOILES,ENTREPRISE ETOILE,1.0
EXCEL HR,EXCELHR OR EXCEL INFORMATION TECHNOLOGY RESOURCES EXCELITR O,1.0
EXCEL HR,EXCEL INFORMATION TECHNOLOGY RESOURCES A DIVISION EXCEL HUMAN RESOURCES,1.0
OCEAN SCIENTIFIC INTERNATIONAL LIMI,OCEAN SCIENTIFIC INTERNATIONAL,1.0
EXCEL ITR,EXCEL INFORMATION TECHNOLOGY RESOURCES EXCELITR,1.0
EXCEL OFFICE FURNISHINGS,EXCEL,1.0
EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,EXCEL HR,1.0
FORD MOTOR COMPAMY,FORD,1.0
OCEAN MARINE INDUSTRIES,OCEAN MARINE,1.0
EXCEL IT RESOURCES,EXCELL INFORMATION TECHNOLOGYRESOURCES EXCELITR,1.0
SYSCO HALIFAX,SYSCO EDMONTON,1.0
EXCEL INFORMATION TECHNOLOGY RESOUCES,EXCEL ITR,1.0
OCEAN TG UK,OCEAN TECHNICAL SERVICES,1.0
EXCEL INFORMATION TECHNOLOGY RESOUCES,EXCEL INFORMATION TECHNOLOGY RESOURCES,1.0
FORD MOTORS CANADA,FORD,1.0
ATLASMEDIC,ATLAS MEDIC,1.0
ENTREPRISE ML,ENTREPRISES ML,1.0
EXCEL ITREXCEL INFORMATION TECHNOLOGY RESOURCES,EXCEL IT RESOURCES,1.0
EXCEL ITREXCEL INFORMATION TECHNOLOGY RESOURCES,EXCEL ITREXCEL INFORMATION TECHNOL,1.0
EXCEL ITREXCEL INFORMATION TECHNOL OGY RESOURCES,EXCELHR OR EXCEL INFORMATION TECHNOLOGY RESOURCES EXCELITR O,1.0
EXCEL IT RESOURCES,EXCELL INFORMATION TECHNOLOGYRESOUR,1.0
EXCEL ITREXCEL INFORMATION TECHNOL OGY RESOURCES,EXCEL ITREXCEL INFORMATION TECHNOL,1.0
ATLAS MEDIC,ATLAS MEDICAL,1.0
CROWN PACKAGING,CROWN METAL PACKAGING,1.0
EXCEL ITREXCEL INFORMATION TECHNOL,EXCEL ITREXCEL INFORMATION TECHNOL OGY RESOURCES,1.0
ATLAS ELEKTRONIK,ATLAS ELEKTRONIK UK,1.0
OCEAN MARINE INDUSTRIES,OCEAN MARINE INDUSTRIS,1.0
EXCEL INFORMATION TECHNOLOGY RESOURCES EXCEL ITR,EXCEL INFORMATION TECHNOLOGY RESOURCES,1.0
