name1,name2,score,false_positive
CANADIAN HELICOPTER,CANADIAN HELICOPTERS EASTERN DIVISION,0.999980,0
HOFFMANN ROCHE,ROCHE DIAGNOSTICE,0.997614,0
WEATHERHAVEN,WEATHERHAVEN CANADA RESOURCES,0.999984,0
TELFER SCHOOL MANAGEMENT UNIVERSITY OTTAWA,UNIVERSITY OTTAWA,0.999975,0
HEWLETT PACKARD CANADA,UNIVERSITY OTTAWA,0.533477,1
IMPERIAL OIL,IMPERIAL OIL ESSO,0.999982,0
IMPERIAL OIL ESSO,INPERIAL OIL,0.999972,0
IMPERIAL OIL ESSO,IMPERIAL OIL PRODUCTS AD CHEMICALS DIVISION,0.999983,0
IMPERIAL OIL ESSO,WORLS FUELS,0.986251,1
IMPERIAL OIL ESSO,WORL FUEL SERVICES TRADING,0.999714,1
IMPERIAL OIL ESSO,WORLD FUEL SERVICE,0.894005,1
IMPERIAL OIL ESSO,WORLD FUEL SERVICES,0.909461,1
IMPERIAL OIL ESSO,TECHSOL MARINE,0.992647,1
IMPERIAL OIL ESSO,WORLDD FUEL SERVICES CANADA,0.927217,1
IMPERIAL OIL ESSO,WORLD FUEL SERVICES CANADA,0.921373,1
BARON SUPPLIES,SHELL CANADA PRODUCTS,0.581979,1
ATS SCIENTIFIC,ATS SCIENTIFIC,0.999977,0
ADVANCED BUSINESS INTERIORS,ADVANCED BUSINESS INTERIORS,0.999971,0
ABIADVANCED BUSINESS INTERIORS,ADVANCED BUSINESS INTERIORS,0.999962,0
ABI ADVANCED BUSINESS INTERIORS,ADVANCED BUSINESS INTERIORS,0.999975,0
ADVANCED BUSINESS INTERIORS,PROMAXIX SYSTEMS,0.812831,1
ADVANCED BUSINESS INTERIORS,CORPORATE EXPRESS CANADA,0.545132,1
ADVANCED BUSINESS INTERIORS,ADVANCED CHIPPEWAS,0.610466,1
PARKLAND COLUMBIA FUELS,PARKLAND OA COLUMBIA FUELS,0.999970,0
COLUMBIA FUELS OA PARKLAND FUELS,PARKLAND COLUMBIA FUELS,0.999978,0
PARKLAND COLUMBIA FUELS,UNIVERSITY BRITISH COLUMBIA,0.941481,1
PARKLAND COLUMBIA FUELS,UNIVERSITY BRITISH COLUMBIA OKANAGAN,0.997372,1
WESCO DISTRIBUTION,WESCO DISTRIBUTION CANADA,0.999988,0
WESCO DISTRIBUTION CANADA,WESCO DISTRIBUTION CANADA,0.999987,0
PCL CONSTRUCTION MANAGEMENT,PCL CONSTRUCTORS WESTCOAST,0.999964,0
ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999990,0
ALTIS HUMAN RESOURCES,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
EXCEL HUMAN RESOURCE,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS PROFESSIONAL RECRUITMENT,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999990,0
ALTIS RECRUITMENT,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES VANCOUVER I,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES OTTAWA,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS PROFESSIONAL SERVICES,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESSOUCES,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
ALTIS RECRUITMENT TECHNOLOGY IN,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999990,0
ALTIS VANCOUVER,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999989,0
EXCEL,JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,0.999987,0
JOINT VENTURE ALTIS EXCEL HUMAN RESOURCES,TELUS COLLABORATION SERVICES,0.558637,1
HOSKIN SCIENTIFIC,HOSKIN SCIENTIFIC,0.999988,0
HONEYWELL,HONEYWELL BUILDING SOLUTIONS,0.999988,0
HONEYWELL BUILDING SOLUTIONS,HONEYWELL HONEYWELL,0.999988,0
EMS TECHNOLOGIES CANADA HONEYWELL,HONEYWELL BUILDING SOLUTIONS,0.999986,0
MCELHANNEY,MCELHANNEY ASSOCIATES LAND,0.999988,0
MCELHANNEY ASSOCIATES LAND,MCELHANNEY CONSULTING SERVICES,0.999987,0
MCELHANNEY ASSOCIATES LAND,MCELHINNEY HOLDINGS,0.999960,0
MCELHANNEY ASSOCIATES LAND,MCELHANNEY EDMONTON,0.999987,0
MCELHANNEY ASSOCIATES LAND,MCELHANNEY CONSULTING SERVICES APRIL 20 2016,0.999987,0
ORACLE,ORACLE CANADA,0.999983,0
ORACLE,ORACLE CORPORATIONS CANADA,0.999977,0
GRAND TOY,GRAND TOY,0.999987,0
FELIX TECHNOLOGY,FELIX TECHNOLOGY,0.999985,0
SOFTCHOICE,SOFTCHOICE,0.999979,0
FISHER SCIENTIFIC,FISHER SCIENTIFIC COMPANY,0.999985,0
FISHER SCIENTIFIC COMPANY,THERMO FISHER SCIENTIFIC,0.999982,0
FISHER SCIENTIFIC COMPANY,THERMO FISHER SCIENTIFIC MISSISSAUG,0.999983,0
FISHER SCIENTIFIC COMPANY,HEWLETT PACKARD CANADA,0.900850,1
TELUS COLLABORATION SERVICES,TELUS HEALTH,0.999986,0
TELUS COLLABORATION SERVICES,TELUS COMMUNICATIONS,0.999985,0
TELUS COLLABORATION SERVICES,TELUS COMMUNICATIONS COMPANY,0.999984,0
GROUPE SANTE MEDISYS,TELUS COLLABORATION SERVICES,0.788191,0
ALTIS PROFESSIONAL SERVICES,TELUS COLLABORATION SERVICES,0.975621,1
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESOURCES NORTH YORK,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS HUMAN RESOURCES OTTAWA,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS HUMAN RESOURCES VANCOUVER I,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS PROFESSIONAL RECRUITMENT,0.999988,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS PROFESSIONAL SERVICES,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS RECRUITMENT,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS HUMAN RESSOUCES,0.999990,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS VANCOUVER,0.999988,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS RECRUITMENT TECHNOLOGY IN,0.999989,0
ALTIS HUMAN RESOURCES NORTH YORK,ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,0.999990,0
ALTIS HUMAN RESOURCES NORTH YORK,EXCEL HUMAN RESOURCE,0.999990,0
ALTIS HUMAN RESOURCES NORTH YORK,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999989,0
JHT DEFENCE,JHT DEFENSE,0.999986,0
JHT DEFENCE,JHT DEFENSE INCEC,0.999985,0
CANON CANADA,HEWLETT PACKARD CANADA,0.914920,1
COLLIERS PROJECT LEADERS,COLLIERS PROJECT LEADERS,0.999987,0
WSP CANADA,WSP CANADA,0.999987,0
WSP CANADA,WSP EI CANADA,0.999985,0
WSP CANADA,WSP CANADA GROUP,0.999986,0
LUMINA IT,LUMINAIT,0.999897,0
LUMINA IT,LUMINA IT,0.999961,0
LUMINA IT,LUMINA IT CBZ JOINT VENTURE,0.999961,0
WARTSILA CANADA,WARTSILA CANADA,0.999986,0
WARTSILA CANADA,WARTSILA NORTH AMERICA,0.999983,0
CAMPBELL SCIENTIFIC CANADA,CAMPBELL SCIENTIFIC CANADA,0.999983,0
STANTEC CONSULTING OTTAWA,STANTEC CONSULTING WINNIPEG,0.999986,0
STANTEC CONSULTING DARTMOUTH,STANTEC CONSULTING WINNIPEG,0.999986,0
STANTEC CONSULTING,STANTEC CONSULTING WINNIPEG,0.999986,0
STANTEC CONSULTING SCL,STANTEC CONSULTING WINNIPEG,0.999986,0
STANTEC CONSULTING WINNIPEG,STANTEC EXPERT CONSEILS,0.999987,0
STANTEC CONSULTING WINNIPEG,STANTEC EXPERTSCONSEILS,0.999986,0
STANTEC ARCHITECTURE,STANTEC CONSULTING WINNIPEG,0.999987,0
BELL CANADA,BELL CDA,0.999972,0
BELL CANADA TELEPHONE,BELL CDA,0.999971,0
BELL CDA,BELL TELEPHONE COMPANY CANADA OR BELL CANADA COMPAGNIE TE,0.999966,0
UNISOURCE TECHNOLOGY,UNISOURCE TECHNOLOGY,0.999988,0
UNISOURCE TECHNOLOGY,UNISOURCE TECHNOLOGY UTI,0.999988,0
UNISOURCE TECH,UNISOURCE TECHNOLOGY,0.999988,0
BLUMETRIC ENVIRONMENTAL,BLUMETRIC ENVIRONMENTAL,0.999987,0
BLUMETRIC ENVIRONMENTAL,LOGISTIC UNICORP,0.689772,1
MAC EWEN PETROLEUM,MACEWEN PETROLEUM,0.999641,0
MAC EWEN PETROLEUM,MACEWEN,0.955498,0
ERNST YOUNG EY,ERNST YOUNG GLOBAL,0.999967,0
ERNST YOUNG EY,ERNST YOUNG MONTREAL,0.999965,0
ERNST YOUNG EY,ERNST YOUNG TTTTTTTT,0.999943,0
ERNST YOUNG BILL KESSELS,ERNST YOUNG EY,0.999786,0
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESOURCES OTTAWA,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESOURCES VANCOUVER I,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS PROFESSIONAL SERVICES,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS PROFESSIONAL RECRUITMENT,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESSOUCES,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS RECRUITMENT,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS VANCOUVER,0.999989,0
ALTIS HUMAN RESOURCES,ALTIS RECRUITMENT TECHNOLOGY IN,0.999989,0
ALTIS HUMAN RESOURCES,EXCEL HUMAN RESOURCE,0.999990,0
ALTIS HUMAN RESOURCES,ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,0.999989,0
ALTIS HUMAN RESOURCES,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999990,0
ALTIS HUMAN RESOURCES,TELUS COMMUNICATIONS,0.801533,1
ALTIS HUMAN RESOURCES,TELUS HEALTH,0.975793,1
VERITAAQ TECHNOLOGY HOUSE,VERITAAQ TECHNOLOGY HOUSE,0.999984,0
EXPERIS VERITAAQ,VERITAAQ TECHNOLOGY HOUSE,0.999937,0
SERCO CANADA MARINE,SERCO CANADA MARINE,0.999972,0
SOLOTECH,SOLOTECH QUABEC,0.999986,0
CBCI SOLOTECH,SOLOTECH QUABEC,0.999985,0
SOLOTECH QUABEC,SOLOTECH QUEBEC,0.999986,0
CBCI TELECOM A SOLOTECH COMPANY,SOLOTECH QUABEC,0.999983,0
STANTEC CONSULTING,STANTEC CONSULTING DARTMOUTH,0.999986,0
STANTEC CONSULTING DARTMOUTH,STANTEC CONSULTING SCL,0.999986,0
STANTEC CONSULTING DARTMOUTH,STANTEC CONSULTING OTTAWA,0.999986,0
STANTEC CONSULTING DARTMOUTH,STANTEC EXPERT CONSEILS,0.999985,0
STANTEC CONSULTING DARTMOUTH,STANTEC EXPERTSCONSEILS,0.999985,0
STANTEC ARCHITECTURE,STANTEC CONSULTING DARTMOUTH,0.999986,0
BLUEWAVE,BLUEWAVE ENERGY,0.999985,0
EMERION,EMERION,0.999980,0
EMERION,EMERIONCOFOMO IN JOINT VENTURE,0.999982,0
L3 COMMUNICATIONS ELECTRONIC SYSTEM SERVICES,L3 COMMUNICATIONS EOIR,0.999979,0
L3 AVIATION PRODUCTS,L3 COMMUNICATIONS EOIR,0.999976,0
L3 COMMUNICATIONS,L3 COMMUNICATIONS EOIR,0.999980,0
L3 COMMUNICATIONS ELECTRONIC SYSTEMS,L3 COMMUNICATIONS EOIR,0.999980,0
RF BINNIE,RF BINNIE ASSOCIATES,0.999979,0
VALCOM CONSULTING GROUP,VALCOM CONSULTING GROUP,0.999964,0
VALCOM CONSULTING,VALCOM CONSULTING GROUP,0.999919,0
SAMSON ASSOCIATES,SAMSON ASSOCIATES CPA CONSULTING SERVICES,0.999979,0
SAMSON ASSOCIATES,SAMSON ASSOCIES,0.999979,0
SAMSON ASSOCIATES,SAMSON ASSOCIATES CPA CONSULTATION,0.999979,0
SAMSON ASSOCIATES,SAMSON ASSOCIES CPACONSULTATION,0.999978,0
ROGERS ATT,SAMSON ASSOCIATES,0.999412,1
HONEYWELL,HONEYWELL HONEYWELL,0.999988,0
EMS TECHNOLOGIES CANADA HONEYWELL,HONEYWELL,0.999987,0
HONEYWELL,HONEYWELL,0.999988,0
MCELHANNEY,MCELHANNEY CONSULTING SERVICES,0.999988,0
MCELHANNEY CONSULTING SERVICES,MCELHANNEY CONSULTING SERVICES,0.999988,0
MCELHANNEY CONSULTING SERVICES,MCELHINNEY HOLDINGS,0.999941,0
MCELHANNEY CONSULTING SERVICES,MCELHANNEY EDMONTON,0.999988,0
MCELHANNEY CONSULTING SERVICES,MCELHANNEY CONSULTING SERVICES APRIL 20 2016,0.999988,0
GROUPE SANTE MEDISYS,TELUS HEALTH,0.991205,0
UNITED RENTAL CANADA,UNITED RENTALS CANADA,0.999979,0
UNITED RENTALS CANADA,UNITED RENTALS CANADA,0.999985,0
HEWLETT PACKARD CANADA,UNITED RENTALS CANADA,0.775592,1
ENMAX,ENMAX ENERGY,0.999985,0
DELL CANADA,DELLCANADA,0.999937,0
DELL CANADA,DELL COMPUTER,0.999950,0
DELL CANADA,DELL CANADA,0.999962,0
WORL FUEL SERVICES TRADING,WORLS FUELS,0.999956,0
WORLD FUEL SERVICES,WORLS FUELS,0.997845,0
WORLD FUEL SERVICE,WORLS FUELS,0.997862,0
WORLDD FUEL SERVICES CANADA,WORLS FUELS,0.997281,0
AFS AVIATION FUEL SERVICES,WORLS FUELS,0.636924,1
WORLD FUEL SERVICES CANADA,WORLS FUELS,0.996099,0
WORLD FUEL FLIGHT SERVICES,WORLS FUELS,0.995928,0
INPERIAL OIL,WORLS FUELS,0.909807,1
IMPERIAL OIL,WORLS FUELS,0.961066,1
TECHSOL MARINE,WORLS FUELS,0.699505,1
LUMINA IT,WORLS FUELS,0.824954,1
CORCAN,WORLS FUELS,0.969389,1
PAL AEROSPACE,WORLS FUELS,0.946302,1
LUMINAIT,WORLS FUELS,0.608316,1
KENT,WORLS FUELS,0.899561,1
EFR ENVIRONMENTAL,WORLS FUELS,0.835269,1
1025178RANDSTAD INTERIM,WORLS FUELS,0.815342,1
GLOBAL UPHOLSTERY RD,WORLS FUELS,0.664982,1
GLOBAL UPHOLSTERY,WORLS FUELS,0.827654,1
SMITH CARTER ARCHITECTS OTTAWA,SMITH CARTER JV BRADLEY SHUYA ARCHITECTS,0.999952,0
SMITH CARTER ARCHITECTS WINNIPEG,SMITH CARTER JV BRADLEY SHUYA ARCHITECTS,0.999945,0
COMMISSIONAIRES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999984,0
COMMISSIONAIRES SECURITY SOLUTIONS,CORPS COMMISSIONAIRES,0.999984,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999985,0
COMMISSIONAIRES KINGSTON,COMMISSIONAIRES SECURITY SOLUTIONS,0.999985,0
CANCORPS COMMISSIONAIRES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999986,0
